,key,name
0,266,아트록스
1,103,아리
2,84,아칼리
3,12,알리스타
4,32,아무무
5,34,애니비아
6,1,애니
7,523,아펠리오스
8,22,애쉬
9,136,아우렐리온 솔
10,268,아지르
11,432,바드
12,53,블리츠크랭크
13,63,브랜드
14,201,브라움
15,51,케이틀린
16,164,카밀
17,69,카시오페아
18,31,초가스
19,42,코르키
20,122,다리우스
21,131,다이애나
22,119,드레이븐
23,36,문도 박사
24,245,에코
25,60,엘리스
26,28,이블린
27,81,이즈리얼
28,9,피들스틱
29,114,피오라
30,105,피즈
31,3,갈리오
32,41,갱플랭크
33,86,가렌
34,150,나르
35,79,그라가스
36,104,그레이브즈
37,120,헤카림
38,74,하이머딩거
39,420,일라오이
40,39,이렐리아
41,427,아이번
42,40,잔나
43,59,자르반 4세
44,24,잭스
45,126,제이스
46,202,진
47,222,징크스
48,145,카이사
49,429,칼리스타
50,43,카르마
51,30,카서스
52,38,카사딘
53,55,카타리나
54,10,케일
55,141,케인
56,85,케넨
57,121,카직스
58,203,킨드레드
59,240,클레드
60,96,코그모
61,7,르블랑
62,64,리 신
63,89,레오나
64,127,리산드라
65,236,루시안
66,117,룰루
67,99,럭스
68,54,말파이트
69,90,말자하
70,57,마오카이
71,11,마스터 이
72,21,미스 포츈
73,62,오공
74,82,모데카이저
75,25,모르가나
76,267,나미
77,75,나서스
78,111,노틸러스
79,518,니코
80,76,니달리
81,56,녹턴
82,20,누누와 윌럼프
83,2,올라프
84,61,오리아나
85,516,오른
86,80,판테온
87,78,뽀삐
88,555,파이크
89,246,키아나
90,133,퀸
91,497,라칸
92,33,람머스
93,421,렉사이
94,58,레넥톤
95,107,렝가
96,92,리븐
97,68,럼블
98,13,라이즈
99,113,세주아니
100,235,세나
101,875,세트
102,35,샤코
103,98,쉔
104,102,쉬바나
105,27,신지드
106,14,사이온
107,15,시비르
108,72,스카너
109,37,소나
110,16,소라카
111,50,스웨인
112,517,사일러스
113,134,신드라
114,223,탐 켄치
115,163,탈리야
116,91,탈론
117,44,타릭
118,17,티모
119,412,쓰레쉬
120,18,트리스타나
121,48,트런들
122,23,트린다미어
123,4,트위스티드 페이트
124,29,트위치
125,77,우디르
126,6,우르곳
127,110,바루스
128,67,베인
129,45,베이가
130,161,벨코즈
131,254,바이
132,112,빅토르
133,8,블라디미르
134,106,볼리베어
135,19,워윅
136,498,자야
137,101,제라스
138,5,신 짜오
139,157,야스오
140,83,요릭
141,350,유미
142,154,자크
143,238,제드
144,115,직스
145,26,질리언
146,142,조이
147,143,자이라
